question,answer
Does the quote include shipping?,"The quote includes free curbside delivery, with additional services available at an extra charge."
Is standard shipping via UPS or FedEx ground free?,"Yes, there is no shipping cost for standard ground shipping; this would be the curbside delivery option."
Can government entities purchase Vibe products without taxes?,"Yes, government entities with tax exempt status can purchase without taxes by providing a custom purchase link from Vibe, along with necessary documentation such as a sales tax-exempt form."
How long does it take for a Vibe product to ship once it is ordered?,It takes 1-2 days to process an order and approximately 5-7 business days for shipping within the US.
Does Vibe have resellers?,"Yes, Vibe has resellers and if you prefer to purchase through one, you can inform them to contact Vibe for a quote."
What is the current shipping time for Vibe products within the US?,"Shipping time within the US is approximately 5-7 business days, after a 1-2 day order processing period."
Do your Vibe boards support third-party apps?,"Yes, the Vibe S1 and 75"" Vibe Boards support many third-party apps, as they are based on Chromium OS. Records can enable Google Play Store to download apps or use the Chrome Web Store."
Is the Vibe board battery powered or does it need to be plugged in?,The Vibe board must be plugged into a power outlet as there is no battery option available currently.
Are there any discounts or promotions for teachers or schools?,"There is no special educator's discount, but there is a WELCOME100 offer for new visitors to the Vibe website, providing a $100 discount after signing up with an email address. Sales tax exemption is also available for those with a valid certificate."
Can you use Vibe boards as a screenshare/monitor and then draw on it that way?,"Yes, you can annotate during screencasting."
"If I order a Vibe product, how long does delivery typically take?","It typically takes 1-2 days to process an order, and shipping time within the US is approximately 5-7 business days, depending on your location."
What is the Vibe SmartCam (C1)?,The Vibe SmartCam C1 is a camera that works with the S1 board only and is intended for video conferencing.
Can the Vibe board be set up as a third monitor to drag a PDF or Excel over to during a Zoom call and annotate on it?,"If you want to display annotation during a Zoom call, you need to host the call directly from the Vibe board or join as a participant from the board so you can share the screen from the board."
How do you get information or files onto the Vibe board?,"You can access files from Cloud storage drives like Google Drive, OneDrive, Box, or Dropbox through Vibe accounts or access native files such as Excel directly on the board."
How can I see a demo of the Vibe S1 board?,"Vibe offers a 4 min product tour, instructional videos on their YouTube channel, and free demos that can be scheduled with a Vibe expert."
Can the Vibe S1 55 Inch Interactive Whiteboard screen share with a Windows 11 Dell Laptop?,"Yes, the Vibe S1 55 Inch Interactive Whiteboard can screen share with a Windows 11 Dell Laptop using the VibeCast app, though the customer reported it being terribly slow and having limited functionality."
Is it possible to extend the PC display to the Vibe S1 55 Inch Interactive Whiteboard like with a Samsung TV?,There is no direct answer provided. The customer is advised to contact Vibe support for assistance with this question.
How can a customer reach out to the Vibe support team?,A customer can reach out to the Vibe support team by emailing support@vibe.us or submitting a support ticket through the Vibe Knowledge Base.
"What is included within the box of the Vibe Board S1 55""?","The Vibe Board S1 55"" comes with a stylus x1, power cord, and a quick start guide."
"What does the Vibe Board Pro 75"" package contain?","The Vibe Board Pro 75"" package includes the Vibe Board Pro 75"", stylus x2, wall mount, remote control, HDMI cord & USB cable, power cord, and a quick start guide."
"How much does the Vibe Board Pro 75"" cost?","The Vibe Board Pro 75"" is available at a cost of $6,999 USD."
"Is there an additional cost for the stand for the Vibe Board Pro 75""?","Yes, the stand for the Vibe Board Pro 75"" is available at an additional cost of $899 USD."
Can discounts be available for purchasing multiple Vibe boards?,"Yes, discounts may be offered for purchasing multiple Vibe boards."
"Does the 75"" board come with a complimentary wall mount?","Yes, the portable stand for the 75"" board comes with a complimentary wall mount included."
What is the recommended wall mount for the Vibe S1 55 Inch Interactive Whiteboard?,"Most TV wall mounts that support VESA 200X200 and can support at least 65 pounds will work for our Vibe S1 Board 55""."
Is the Jason Mayfield $350 discount code still available?,"The Jason Mayfield $350 discount code has changed, and it is now a $150 referral discount code."
Do you offer a military discount?,We do not offer a military discount.
Is there a welcome offer for new customers on the Vibe website?,"Yes, as a new visitor you might receive a pop up for the WELCOME100 offer, which gives a $100 discount after signing up by entering your email address."
Is the FRIEND-XFP2QBD referral code still valid?,"Yes, the FRIEND-XFP2QBD referral code is valid and provides a $150 referral discount."
Does Vibe offer any promotions for the Interactive Whiteboards?,"Currently, there is no promotion except for the WELCOME100 offer for new customers."
Does Vibe offer free shipping in the US?,"Yes, Vibe offers free shipping within the Continental US."
Can Vibe remove sales tax with a valid tax exemption certificate/form?,"Yes, Vibe can help remove the taxes for sales tax exempt customers with a valid tax exemption certificate/form."
Are software or licensing monthly subscriptions required to use the Vibe S1 55 Inch Interactive Whiteboard?,"No, there are no subscription costs required to use the Vibe S1 55 Inch Interactive Whiteboard or Vibe Canvas software at the moment."
"If I purchase the 55"" interactive whiteboard, the camera, and the stand, do I need anything else to conduct virtual workshops?","No, you will only need to connect the interactive whiteboard to your WiFi network and download any necessary software such as Zoom, PPT, etc., keeping in mind that some third-party apps might require their own license or paid subscription."
What are the shipping lead times to TN?,"The shipping time within the US is approximately 5-7 business days, with 1-2 days to process an order, as the products are in stock and readily available to ship from Southern California."
"Is the Vibe Board S1 55'' the same as the original VIBE 55"" smartboard?","No, the Vibe Board S1 55"" is a newer upgraded model compared to the original 55"" Vibe board."
"What is the main difference between the original Vibe 55"" board and the Vibe 55"" S1 board?","The main difference is the operating system and app compatibility. The original Vibe 55"" board is based on an Android operating system and supports mobile Android versions of most third-party apps, while the Vibe 55"" S1 board is based on a Chromium operating system and supports web versions of most applications. The S1 model is also Google Play store and Chrome web store compatible. Additionally, the 55"" S1 board can have an optional attachable camera, unlike the original."
Is there a camera option for the Vibe Board S1 55''?,"Yes, the Vibe Board S1 55'' has an optional attachable camera."
What camera options are available for the Vibe S1 75 Inch Interactive Whiteboard?,"For the Vibe S1 75 Inch Interactive Whiteboard, there is no built-in camera, and Vibe does not sell one specifically for it. However, it is compatible with most cameras that support standard Universal Video Class (UVC). Some tested and confirmed compatible cameras include:"
How long do Vibe whiteboards typically take to ship within the US?,"Shipping time within the US is approximately 5-7 business days, depending on your location."
Are there any discounts or sales currently available for Vibe whiteboards?,"There are no current promotions, but new visitors can sign up for the WELCOME100 offer which gives a $100 discount for new customers."
What is the bulk discount offered by Vibe for whiteboards?,"Vibe offers bulk discounts as follows: 3-5 boards: 5% discount, 6-10 boards: 10% discount, 11 and more: 15% discount."
"Can the stands and cameras be purchased together with the Vibe S1 55"" whiteboard?","Yes, you can purchase the bundle including the S1 55"" board, stand, and camera on the Vibe website's product page."
What is included in Vibe's accident protection plan?,Vibe offers a free 1-year limited warranty covering manufacturer defects and extended warranties for up to 3 years that cover accidental forgiveness.
Can the Vibe S1 be used as a screen connected to my computer?,"Yes, you can use HDMI or wirelessly cast your devices to the Vibe Board."
Does the Vibe S1 require network connectivity?,"Vibe boards support offline mode for our Vibe Canvas application only. Other applications that require internet will not work. For first-time set up, it is advisable that the board is connected to the internet for updates."
Can the Vibe Canvas application operate in offline mode?,"Yes, the Vibe Canvas application can operate in offline mode and save the different canvases created. It works similarly to how a computer operates without Wi-Fi but with its specific OS."
Is the level of customer support for a Vibe Board the same if purchased through Amazon as it is when purchasing directly through the site?,"Yes, the customer support is the same regardless of whether the Vibe Board is purchased through Amazon or directly through our site."
Does the 30-day trial apply to boards purchased through Amazon?,"Yes, the 30-day return policy applies to boards purchased through Amazon as well."
"What should I do if my Vibe Canvas is stuck on the logo screen on a Vibe S1 55"" board?","Restart the board and check for updates for the Canvas app in the Vibe OS settings. If the issue persists, submit a support ticket to support@vibe.us with a video or picture of the issue."
Where can I buy the camera for the Vibe board?,The Vibe SmartCam C1 can be purchased on the Vibe website under the accessories list on the Interactive Smart Whiteboards shop page.
What operating system do Vibe boards run on?,Our Vibe boards run on Chromium OS.
Is Windows OS natively supported on Vibe Boards?,"We currently do not run Windows OS natively on our Vibe Boards; however, we are working on this for later in 2023."
Can I get technical support regarding integration with Microsoft Azure?,"Yes, you can schedule a meeting with our Technical Support Manager, Rhett, or learn more about single sign-on with Microsoft Azure at Vibe Help Center."
Do you have a Windows desktop app for Vibe Cast?,"Yes, there is a desktop app for Vibe Cast available for download at cast.vibe.us, in addition to the option to use it directly from the web browser."
Is the Vibe Cast app or just a web browser access?,It is both; you can download the desktop app or use it directly from the web browser.
"Does the Vibe Cast app version work on the original 55"" Vibe board?","No, the app version only works on the S1 55"" and 75"" Vibe boards."
"What app works with the original 55"" Vibe board for screencasting?","Eshare should work with the original 55"" Vibe board."
"How can I check the version of my Vibe board to know if it is original 55"" or S1 55""?","The model number is on the sticker on the back of the board. If it was recently purchased, it is likely to be the S1 55"" since the original 55"" board has been phased out."
Where can I find the link for Eshare for the original Vibe board?,Eshare for the original Vibe board can be accessed here: https://vibe.how/en/articles/7055037-how-do-i-screencast-with-the-original-vibe-board-55.
"Will Eshare work on the S1 55"" Vibe board?","No, Eshare won't work on the S1 55"" Vibe board due to the difference in OS."
How can a non-profit organization buy Vibe products without tax?,"Non-profit organizations can receive a custom purchase link to complete orders without taxes by providing their billing/shipping address, contact name, contact number, item list, and a copy of their sales tax-exempt form."
Does the Vibe board come with a camera and stand included?,"No, those are add-ons and do not come included with the board."
What is the total cost for a Vibe board plus webcam plus stand?,"The total would be $3,799 USD without sales tax."
Are there any discounts available for the Vibe board?,"A WELCOME100 discount can be applied to the order, which is a $100 discount for first-time customers."
Can the Vibe board be mounted on the wall?,"Yes, the board can be wall-mounted."
Are there any cheaper alternatives for the stand?,Customers can consider other third-party stands which are more cost-effective.
Can state universities receive tax exemption when placing an order with Vibe?,"Yes, state universities can place an order without taxes. Vibe requires the university's billing/shipping address, contact name, contact number, item name, and quantity, as well as a copy of the sales tax-exempt form to make tax adjustments."
Can Vibe provide a custom purchase link for tax-exempt orders?,"Yes, Vibe can provide a custom purchase link to complete orders without taxes for eligible customers like state universities."
Does Vibe accept purchase orders with payment terms?,"Yes, Vibe accepts purchase orders with net 30 terms."
Can I use a Microsoft Teams or Calendar Resource account with Vibe Boards?,"Yes, the S1 55"" and 75"" Vibe Boards support many third-party apps including the use of Microsoft Teams or Calendar Resource accounts, especially when using Google Workspace. For non-vetted apps, the user experience cannot be guaranteed."
Can Office 365 manage a shared (resource) account for 1-click meetings on Vibe Boards?,"To get information on managing a shared resource account on Vibe Boards with Office 365, you will need to contact the support team at support@vibe.us or submit a support ticket in the Vibe Knowledge Base."
Can Vibe boards be used strictly for video conferencing?,"Yes, Vibe boards can be used for video conferencing and support many third-party apps, including video conferencing apps."
"Do the Vibe boards come with a camera, speaker, or microphone?",Vibe boards have built-in speakers but no microphones. You can connect a USB microphone or a camera with microphone capabilities.
Does the camera compatible with Vibe boards come with a microphone?,"Yes, the Vibe SmartCam has built-in microphones."
Does the Vibe S1 75 Inch board come with a camera?,"No, the 75"" board does not come included with a camera, but it is compatible with most standard Universal Video Class (UVC) cameras that have been tested."
"Does the Vibe 55"" board support HDMI-ARC to a sound bar?","No, Vibe boards do not support sound bars with ARC."
Can external speakers be connected to the Vibe board?,"Yes, you can connect external USB-C or USB to USB-C speakers to the board."
Do you have any government contracts?,"We do not, but you can consider a reseller who has a government contract."
Do you accept purchase orders (PO)?,"Yes, we accept POs with net 30 terms."
What is the estimated delivery time for your products?,"All our products are in stock and available to ship. It typically takes 1-2 days to process an order. Shipping time within the US is 5-7 business days, depending on your location (our warehouses are in Southern California)."
Is there a trial period for Vibe products?,"Vibe does not offer a trial period, but there is a 30 days return policy where the customer can return the device within 30 days of delivery date, covering only the cost of shipping back to the warehouse."
Can I schedule a demonstration of the Vibe product before purchasing?,"Yes, you can schedule a demonstration of our product to speak with one of our experts who will show you the product and answer any questions you may have."
"Does the Vibe Board S1 55"" support a remote control?","The Vibe Board S1 55"" does not come with a remote control, but you can use the VibeOne app on your phone as a remote to control volume, brightness, navigate with a touchpad, and utilize a digital keyboard."
"Can a USB remote work with the Vibe Board S1 55""?","Yes, a USB remote should work with the Vibe Board S1 55""."
"Do you offer a Bluetooth remote for the Vibe Board S1 55""?","Vibe does not offer a Bluetooth remote for the Vibe Board S1 55"", but they have tested and recommend a specific USB remote instead."
Do you offer a 30-day return policy?,"Yes, Vibe offers a 30-day return policy. If you are not satisfied with your purchase, you can return the device within 30 days of delivery and only cover the cost of shipping back to the warehouse."
Does Vibe price match their Amazon pricing if I buy through the Vibe website?,"Vibe does not price match, but you can use the WELCOME100 code to get a discount on the Vibe website, or purchase via Amazon if you prefer."
Does Vibe offer bulk discounts for large orders?,"Yes, Vibe offers bulk discounts: 5% discount for 3-5 boards, 10% discount for 6-10 boards, 11 or more boards get a 15% discount."
What is the shipping time for orders within the US?,"Vibe orders typically take 1-2 days to process, and shipping within the US is approximately 5-7 business days, depending on your location."
Where do Vibe orders ship from?,"Vibe orders are shipped from warehouses located in California and Delaware, depending on proximity to the destination and inventory availability."
Can USB 360 degree conference cameras and Jabra conference speaker/mic arrays work with Vibe boards?,"Yes, you can connect USB 360 degree conference cameras and speakers to Vibe boards. A list of tested cameras and mics that can be used on Vibe boards includes eMeet C980 Pro Webcam, Logitech BRIO, Logitech Conference Cam Bcc950, Logitech Meetup, Meeting Owl Pro, Poly Studio P15, Jabra SPEAK 510+, Jabra SPEAK 710, Emeet M2, and Emeet M220."
Does the Meeting Owl 3 work with Vibe boards?,"The Meeting Owl 3 should work with Vibe boards, as the tested Meeting Owl Pro is compatible."
"When will the Vibe Board Pro 75"" be available in the UK?","There is no timeline for the availability of the Vibe Board Pro 75"" in the UK."
"Is the Vibe Board Pro 75"" available in the US?","Yes, the Vibe Board Pro 75"" is available in the US."
"What is included with the Vibe Board Pro 75""?","The Vibe Board Pro 75"" comes with pens, but it does not come with a camera."
"Are there any compatible cameras for the Vibe Board Pro 75""?","Yes, most cameras that support standard Universal Video Class (UVC) should work with the Vibe Board Pro 75"", and several mainstream cameras have been tested for compatibility."
"Can you ensure delivery by a specific date, such as May 8th?",We are working to get the best price for inside delivery and will follow up with a quote as soon as we receive an update regarding the shipping cost. Options for delivery by a specific date will be provided.
"Can I request different delivery options for multiple products, for example, one delivered by a certain date and the other by regular schedule?","Yes, you can request different delivery options for multiple products. We'll provide options such as both boards delivered by May 8th, one board delivered by May 8th with the other following the regular shipping schedule, and both boards delivered without expedited shipping."
What is the shipping time for a S1 Vibe board within the US?,"Shipping within the US typically takes about 5-7 business days, depending on location, with 1-2 days for order processing."
Can the Vibe S1 55 Inch Interactive Whiteboard be delivered in Washington State before June 30th?,"Yes, if ordered now, it would be delivered way before June 30th, even with standard free shipping."
Can I get a quote for the Vibe S1 55 Inch Interactive Whiteboard with the stand and camera?,"Yes, a quote can be provided for the requested items."
Does Vibe offer any discounts for returning customers?,"Yes, an exclusive customer discount may be applied for customers who have purchased Vibe boards previously."
Is Green River College tax-exempt for purchases?,"No, the college is not tax-exempt in Vibe's system and has to pay tax on purchases."
What color options are available for the Vibe stand?,"The color options for the Vibe stand are white, red, blue, or green."
What should I do if an item is missing from my Vibe order upon delivery?,"You should provide the order number to the sales team, so they can check the shipment details and create a support ticket to resolve the issue."
"If my Vibe C1 AI Camera was not included in the delivery, how will Vibe address this?",The sales team will investigate the situation by confirming the delivery details and then create a support ticket on your behalf to get the issue resolved by the support team.
Can we edit and collaborate using Google Office on Vibe boards?,"Yes, you can use Google Office on the Vibe boards and edit your documents."
Are Vibe boards compatible with third-party apps?,"Vibe boards support many third-party apps, and a list of vetted apps is maintained. Google Play Store and the Chrome web store can be enabled for additional downloads."
Can I use Android apps that aren't on Vibe's vetted app list?,"For Android apps not on the vetted app list, you should reach out to Vibe to check if they can be supported."
Can the Vibe SmartCam be mounted on top of the Vibe board if the board is wall-mounted?,"Yes, the SmartCam can be mounted to a unique slot on top of the board even when wall-mounted."
Are Bluetooth headphones/mics able to connect to the Vibe board for calls?,"Bluetooth speakers or headsets can connect for playing audio, but Bluetooth calls, recording, or video/audio conferencing are not supported."
Can USB microphones be used with Vibe boards?,"Yes, USB microphones are supported, including ones with a dongle which can be used wirelessly."
Does the Vibe board support split-screen mode where one half can be used for screencasting or Apple TV and the other half for a Vibe app?,"Yes, the boards support split-screen mode allowing different activities on each half of the screen."
Are there Vibe wall mounts that allow the board to be easily removed for placement on a stand?,There is no specific version of wall mount designed for easy removal and placement on a stand; it might be a cumbersome process that could require two people due to the need to screw and unscrew the board.
"What is the price of the Vibe S1 55"" Interactive Whiteboard?","The price of the 55"" Vibe S1 Board with a 4K touchscreen, an i5 Processor, and Wi-Fi 6 support can be found on the Vibe website with different bundle options."
"What items are included within the box of the Vibe S1 55"" board?","Inside the box of the Vibe S1 55"" board you will get the Vibe Board S1 55"", Stylus x1, Power cord, and Quick start guide."
"How much does the Vibe 75"" Interactive Digital Whiteboard cost?","The Vibe 75"" Interactive Digital Whiteboard costs $6,999 USD."
"What items are included within the box of the Vibe 75"" board?","The box of the Vibe 75"" board includes the Vibe 75"" board, Stylus x2, Wall mount, Remote controller, HDMI cord & USB cable, Power cord, and Quick start guide."
"What is the cost of the stand for the Vibe 75"" Interactive Digital Whiteboard?","The stand for the Vibe 75"" Interactive Digital Whiteboard costs an additional $899 USD."
Does Vibe offer any discounts for interior designers?,"Vibe does not offer a specific designer discount, but there are bulk discounts for purchases of 3 or more boards and a Vibe Reseller Program with a reseller discount."
Can I get a discount on a single board purchase?,"Yes, for a single board purchase, you might come across a WELCOME100 offer on the Vibe website for new visitors, where you can sign up with your email and receive a $100 offer towards your purchase of a Vibe board."
Can I link the Vibe Board to my iPad?,"Yes, you can wirelessly cast your iPad to the Vibe Board, but be aware that Airplay doesn't support casting certain streaming services due to piracy concerns."
Does the Vibe Board have an application where I can write like a whiteboard?,"Yes, the Vibe Board has the Vibe Canvas application, which is a whiteboarding software that provides an excellent handwriting experience."
Is the Vibe Board Wi-Fi enabled?,"Yes, the Vibe Board is Wi-Fi enabled and can also be connected using an Ethernet cable."
Is there any training or resources available for using Vibe in teaching?,"There are resources available, including a 20-minute demo called ""Teaching with Vibe,"" case studies from educators, and additional resources from top universities. Additionally, you can try the free Vibe whiteboarding software via the Vibe web app and watch a product tour."
Is there an instore location in Miami where I can buy and pick up a Vibe 75-inch interactive whiteboard?,"No, there isn't an instore location to buy our Vibe boards; purchases can be made online on our website or via Amazon."
Can I get expedited shipping for the Vibe 75-inch interactive whiteboard?,"We are not set up for expedited shipping online currently, but we can check with our Logistics team to see if it's possible and to provide the cost."
What is the earliest ship date available for the Vibe 75-inch interactive whiteboard?,"The earliest ship date would be on Monday, considering the cut-off time for delivery options for Monday has already passed."
How can I connect my device to present on PowerPoint with my Vibe interactive whiteboard?,"A support ticket will be created, and a technical support expert will reach out to assist with the issue of connecting to present on PowerPoint with the Vibe interactive whiteboard."
Where do I enter the discount code when ordering a Vibe product?,You would enter the discount code at checkout.
What should I do if I’m having trouble sending screenshots or images through the chat?,"If there are issues with sending images, our sales team can provide you with a custom purchase link with the discount applied."
Do you offer any other discount codes apart from the one I have?,"Unfortunately, we do not have any other discount codes available at the time."
What information do you need to create a custom purchase link?,"We need your billing/shipping address, contact name, contact number, and the name and number of items you would like to purchase. If you are sales tax exempt, we also need a copy of your sales tax-exempt form."
"Can I add accessories, such as the camera, to my order for the Vibe 55?","Yes, you can add accessories like the camera to your order."
What do I need to provide if I have a sales tax exemption?,You need to provide a copy of your actual tax exemption form or certificate.
How can I change the company name on my order for tax exemption purposes?,"You can clarify with the sales team that the office name is different, and they will adjust the company name on the order accordingly."
"What is the length and the cost of the warranty for the 75"" Vibe Interactive Whiteboard?","The 75"" Vibe Interactive Whiteboard comes with a standard 1-year manufacturer warranty. The cost for extended warranty is $350 for 1 additional year, $625 for 2 additional years, and $850 for 3 additional years."
Where can I see the Vibe in person?,"Currently, there isn't a physical location where you can see the Vibe Board. However, you can schedule a virtual demo or watch a product tour and videos from our YouTube channel."
How can I try the Vibe software?,You can try the Vibe software for free by going to app.vibe.us.
Where can I find a product tour?,A 4 min product tour is available and can be found through the information provided by our sales team.
How is the demo for the Vibe board conducted?,The demo will be hosted virtually via Zoom by an Account Executive who will provide a walkthrough of the Vibe board and answer any questions.
Do you offer discounts for nonprofits?,"We do not have a specific discount for nonprofits, but nonprofits can use the WELCOME100 code for $100 off the first order. We also offer bulk discounts for purchases of 3 or more boards. Additionally, sales tax can be removed for tax-exempt organizations with a valid tax-exempt certificate."
Can you waive sales tax for tax-exempt organizations?,"Yes, we can remove the sales tax for tax-exempt organizations upon provision of a valid sales tax-exemption certificate."
What product options are available for the Vibe 55 inch smart board?,"Customers can purchase the 55 inch smart board along with its stand and camera, as a package outlined on our website."
Do the Vibe stands come in different colors?,"Yes, Vibe stands are available in white, red, blue, or green."
Does Vibe offer free shipping?,"Yes, Vibe offers free standard shipping within the US."
How long does it typically take to process and ship an order within the US?,"The order processing time is 1-2 days, and shipping within the US typically takes about 5-7 business days, depending on location."
Does Vibe offer a trial period for products?,"Vibe offers a 30-day return policy. If you are not satisfied with the product, you can return it within 30 days of delivery, but you will need to cover the cost of shipping back to the warehouse."
Does Vibe provide an option for monthly payments?,"Vibe partners with Affirm to offer monthly payment options over 6, 9, or 12 months. Interest rates and approval are subject to Affirm's terms and conditions."
Are there business options for using Affirm?,"It is unclear if Affirm provides a specific business option, and customers may need to contact Affirm directly via their help center to inquire about any business-related financing questions."
"Can third-party wall mounts work with the 75"" Vibe Board?","Yes, third-party wall mounts will work with the 75"" Vibe Board as long as they support 800 x 400 mm VESA and can support at least 108 lbs."
